Section A — Sensor Mode Usage
Sensor,Times Enabled,Total Duration (s),% Mission Time
LiDAR,1,90.8,100.0
RF,1,90.8,100.0
Acoustic,1,90.8,100.0

Section B — Time to Detect / Engage
Target,First Detected,Reached Zone 3,Engage Cmd,Neutralized,Detect→Z3 (s),Detect→Engage (s),Engage→Neut (s)
SIM-1,---,---,18:10:51.152,---,---,---,---
1,18:11:06.951,18:11:33.267,---,---,26.3,---,---
2,18:11:09.623,18:11:35.038,---,---,25.4,---,---

Section C — F2T2EA Event Rates & Durations
Target,Detect→Z3 (s),Z3→Engage (s),Engage→Neut (s),Total F2T2EA (s)
SIM-1,---,---,---,---
1,26.3,---,---,---
2,25.4,---,---,---

Section D — Identification Accuracy
Avg CV Confidence (LOCKED),0.911
Lock samples this mission,8

Section E — Engagement Success Rate
Target,Engagements,Hits,Success Rate (%)
SIM-1,1,0,0.0

Section F — Losses per Target
Target,Track Losses
