Section A — Sensor Mode Usage
Sensor,Times Enabled,Total Duration (s),% Mission Time
LiDAR,2,81.5,97.9
RF,2,81.4,97.7
Acoustic,2,79.3,95.2

Section B — Time to Detect / Engage
Target,First Detected,Reached Zone 3,Engage Cmd,Neutralized,Detect→Z3 (s),Detect→Engage (s),Engage→Neut (s)

Section C — F2T2EA Event Rates & Durations
Target,Detect→Z3 (s),Z3→Engage (s),Engage→Neut (s),Total F2T2EA (s)

Section D — Identification Accuracy
Avg CV Confidence (LOCKED),0.184
Lock samples this mission,22

Section E — Engagement Success Rate
Target,Engagements,Hits,Success Rate (%)

Section F — Losses per Target
Target,Track Losses
